Arrival_or_Departure,Date_End_of_Quater,Year_Text,No_of_Visitors_to_Kenya,Visitors_by_Purpose,Period_Quater,Results_Status,OBJECTID
Arrivals,06/30/2005 12:00:00 AM,2005,41900,Visitors on Business,Q2,Actual,261
Arrivals,10/05/2000 12:00:00 AM,2005,56600,Visitors on Business,Q3,Actual,262
Arrivals,12/31/2005 12:00:00 AM,2005,556000,Visitors on Business,Q4,Actual,263
Arrivals,03/31/2006 12:00:00 AM,2006,61700,Visitors on Business,Q1,Actual,264
Arrivals,06/30/2006 12:00:00 AM,2006,456000,Visitors on Business,Q2,Actual,265
Arrivals,10/06/2000 12:00:00 AM,2006,59400,Visitors on Business,Q3,Actual,266
Arrivals,12/31/2006 12:00:00 AM,2006,59600,Visitors on Business,Q4,Actual,267
Arrivals,03/31/2007 12:00:00 AM,2007,756000,Visitors on Business,Q1,Actual,268
Arrivals,06/30/2007 12:00:00 AM,2007,51600,Visitors on Business,Q2,Actual,269
Arrivals,10/07/2000 12:00:00 AM,2007,64700,Visitors on Business,Q3,Actual,270
Arrivals,12/31/2007 12:00:00 AM,2007,50100,Visitors on Business,Q4,Actual,271
Arrivals,03/31/2008 12:00:00 AM,2008,20400,Visitors on Business,Q1,Actual,272
Arrivals,06/30/2008 12:00:00 AM,2008,18600,Visitors on Business,Q2,Actual,273
Arrivals,10/08/2000 12:00:00 AM,2008,33100,Visitors on Business,Q3,Actual,274
Arrivals,12/31/2008 12:00:00 AM,2008,37200,Visitors on Business,Q4,Actual,275
Arrivals,03/31/2009 12:00:00 AM,2009,38000,Visitors on Business,Q1,Actual,276
Arrivals,06/30/2009 12:00:00 AM,2009,44400,Visitors on Business,Q2,Actual,277
Arrivals,10/09/2000 12:00:00 AM,2009,40100,Visitors on Business,Q3,Actual,278
Arrivals,12/31/2009 12:00:00 AM,2009,46800,Visitors on Business,Q4,Actual,279
Arrivals,03/31/2010 12:00:00 AM,2010,59700,Visitors on Business,Q1,Actual,280
Arrivals,06/30/2010 12:00:00 AM,2010,48600,Visitors on Business,Q2,Actual,281
Arrivals,09/30/2010 12:00:00 AM,2010,62000,Visitors on Business,Q3,Actual,282
Arrivals,12/31/2010 12:00:00 AM,2010,58600,Visitors on Business,Q4,Actual,283
Arrivals,03/31/2011 12:00:00 AM,2011,63600,Visitors on Business,Q1,Actual,284
Arrivals,06/30/2011 12:00:00 AM,2011,56000,Visitors on Business,Q2,Actual,285
Arrivals,09/30/2011 12:00:00 AM,2011,50100,Visitors on Business,Q3,Actual,286
